,smiles,y_true
0,CCCN(CCC)CCc1ccc(O)c2c1CC(C)=N2,1
1,N=C(N)c1ccc(C=Cc2ccc(C(=N)N)cc2O)cc1,0
2,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1,1
3,C/C(=C\C(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,0
4,CCC(=O)O[C@@]1(C(=O)CCl)[C@@H](C)C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@]21C,1
5,CN[C@@H]1[C@H](O[C@H]2[C@@H](O[C@H]3[C@@H](O)[C@@H](O)[C@@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@@]2(O)C=O)O[C@@H](CO)[C@@H](O)[C@H]1O,0
6,Nc1ccn(C2CSC(CO)O2)c(=O)n1,0
7,CN(C)C(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,1
8,CN1CC[C@]23NC(=O)CC(c4cc(Cl)ccc4O2)C3C1,1
9,CC(=O)O[C@H]1CCC2(C)[C@H]3CCC4(C)C(C(C)CCCC(C)C)CC[C@H]4[C@@H]3C[C@H](Br)C2(Br)C1,1
10,Cc1cc(Cl)ccc1NC1=NCCN1,1
11,CNCCSC1=Cc2cc(F)ccc2Oc2ccccc21,1
12,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0
13,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0
14,CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CS[C@@H]12)c1csc(N)n1,0
15,CCN1C(=O)NC(c2ccccc2)C1=O,1
16,O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12,1
17,COc1ccc2c3c1O[C@@H]1C(=O)CCC4(O)C(C2)N(C)CCC314,1
18,CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,0
19,CC(=O)OCC(=O)OCC/C(SC(=O)c1ccco1)=C(/C)N(C=O)Cc1cnc(C)nc1N,1
20,CN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@H]3[C@@H]1C5,1
21,OC(c1ccccc1)(c1ccccc1)C1CCCCN1,1
22,Cc1ncc(CO)c(C=O)c1O,0
23,CON=C(C(=O)NC1C(=O)N(OCC(=O)OCC(=O)OC(C)(C)C)C1C)c1csc(N)n1,0
24,CC(C)(C)NC[C@@H](O)COc1cccc2c1C[C@H](O)[C@@H](O)C2,0
25,CC1=C(C(=O)O)N2C(=O)C(NC(=O)[C@@H](N)c3cccc(NS(C)(=O)=O)c3)[C@@H]2SC1,0
26,Cc1ccc([C@H](C)NC(=O)Cc2ccsc2)nc1,0
27,CC(C)OCC(COC(C)C)OCn1cnc2cnc(N)nc21,1
28,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,0
29,CC(C)N1CCOC(c2ccc(C(F)(F)F)cc2)C1,1
30,CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3[C@H](O)C[C@]21C,1
31,CC1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,0
32,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1,0
33,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,0
34,CN(C)C1C(=O)C(C(=O)NCO)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,0
35,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@@H]1C,1
36,COc1ccc2c3c1O[C@H]1[C@@H](OC(=O)c4cccnc4)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,1
37,COC1C(O)C(N)C(OC2OC(C(C)N)CCC2N)C(O)C1N(C)C(=O)CN,0
38,COc1cc(/C=C/C(=O)NCCn2c(C(F)(F)F)cc3ccccc32)cc(OC)c1OC,1
39,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1
40,c1ccc2oc(-c3ccncc3)cc2c1,1
41,CN1CCN(C2=Nc3cscc3C(=CC#N)c3cscc32)CC1,1
42,CCO[C@@H]1CCN(C(=O)c2cc(-c3ccccc3)c(=O)n3c2-c2cc(Cl)ccc2CC3)C1,1
43,CC(C)OC(=O)CCC/C=C/CC1C(O)CC(O)C1/C=C/C(F)(F)COc1ccccc1,0
44,C[C@@H]1C[C@H]2[C@@H]3CC(F)(F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1
45,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)[C@@H](O)c4ccccc4)[C@@H]3SC2)s1,0
46,C[C@@]12C=CC(=O)C=C1[C@H](F)C[C@@H]1[C@H]2[C@@H](O)C[C@@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO,1
47,C[C@@H]1Oc2ccccc2C[C@@H]1N(C)C,1
48,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(Cl)CC2(C)[C@@]1(O)C(=O)CO,1
49,CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,0
50,O=C(c1cccc(-c2ccco2)c1)N(Cc1ccccn1)C[C@@H]1CCCO1,0
51,CCOC(=O)OCCC(SC(=O)OCC)=C(C)N(C=O)Cc1cnc(C)nc1N,1
52,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@H](C)C[C@@H](OC)[C@@H](O)[C@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,1
53,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0
54,C=C1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@@]2(C)[C@]1(O)C(=O)CO,1
55,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1
56,CC1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@@H]2S1(=O)=O,0
57,c1ccc(CC2NCCc3c2[nH]c2ccccc32)cc1,1
58,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,0
59,CC1(C)OC2CC3C4CC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)COC(=O)c2cc3ccccc3o2)O1,1
60,C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,1
61,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0
62,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,1
63,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,0
64,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,1
65,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C(C)C)CC1,1
66,CC1(C)O[C@H]2C[C@H]3[C@H]4CC5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)COC(=O)c2cc3ccccc3o2)O1,1
67,NC(N)=O,1
68,CO[C@@H]1[C@@H](O)[C@H](N)[C@H](O[C@@H]2O[C@H]([C@H](C)N)CC[C@@H]2N)[C@@H](O)[C@@H]1N(C)C(=O)CN,0
69,NC[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](N)C[C@H]2N)[C@@H](N)[C@H](O)[C@H]1O,0
70,Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,1
71,COc1ccc2c3c1OC1C(OC(=O)c4cccnc4)CCC4C(C2)N(C)CCC341,1
72,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,1
73,CC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CC[C@H](O)C2)C1,0
74,[Xe],1
75,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)O2,1
76,CCC(=O)[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]21C,1
77,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,0
78,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,1
