,smiles,affinity_score
4,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,3.14
8,Oc1ncnc2scc(c3ccsc3)c12,2.25
12,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,1.95
16,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,3.77
17,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,3.15
24,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,3.93
26,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,2.27
28,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,1.14
29,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,2.6
35,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,2.06
36,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,4.33
37,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,2.55
39,OB1N(C(=O)Nc2ccccc12)c3ccccc3,1.4
41,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,2.91
44,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,2.2
46,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,1.1
47,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,2.28
48,COc1ccccc1Cn2c(C)nc3ccccc23,3.47
53,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,2.0
54,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,3.8
58,O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,1.71
59,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,1.19
60,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,2.7
